siglas,Código.de.Provincia,Nombre.de.Comunidad,Nombre.de.Provincia,votos,sobrevalido,swingfactor_abs,swingfactor,seats2016,seats,resultados26J,promedio.encuestas
C's,16,Castilla - La Mancha,Cuenca,10868,9.38117722207356,0.7696060045183283,0.718313722976536,3,3,13.06,18
C's,31,Comunidad Foral de Navarra,Navarra,20505,6.114780741646413,0.9724659571019328,0.4682067949193272,5,5,13.06,18
C's,23,Andalucía,Jaén,38884,10.487590421887896,0.88078212057665906,0.8030314258719675,5,5,13.06,18
C's,39,Cantabria,Cantabria,48626,14.404844075398366,0.9392647389515052,1.1029742783612837,5,5,13.06,18
C's,6,Extremadura,Badajoz,40417,10.693770852681181,0.9365586208921605,0.8188185951516984,6,6,13.06,18
C's,4,Andalucía,Almería,41897,13.661738523643999,1.1077851234609697,1.0460749252407349,6,6,13.06,18
C's,40,Castilla y León,Segovia,13595,15.357243716464275,0.7694098847172584,1.1758992125929766,3,3,13.06,18
C's,15,Galicia,A Coruña,60347,9.37955109583782,1.1972080117288424,0.7181892110136157,8,8,13.06,18
C's,12,Comunitat Valenciana,Castellón / Castelló,44121,14.746126388684644,0.8177695926626533,1.1291061553357307,5,5,13.06,18
C's,28,Comunidad de Madrid,Madrid,616503,17.788213093965453,0.8708794774093342,1.3620377560463592,36,37,13.06,18
C's,41,Andalucía,Sevilla,138086,13.366024206475194,0.9483770879627175,1.0234321750746702,12,12,13.06,18
C's,7,Illes Balears,Illes Balears,67700,14.565811866510897,1.171419168730247,1.1152995303607118,8,8,13.06,18
C's,34,Castilla y León,Palencia,12428,12.350684713692287,0.8700935674605698,0.9456879566380005,3,3,13.06,18
C's,14,Andalucía,Córdoba,55248,12.36476596735136,0.91235500030757255,0.946766153702248,6,6,13.06,18
C's,8,Cataluña,Barcelona,305075,11.538681199561411,1.0625951302898626,0.8835131086953607,31,32,13.06,18
C's,33,Principado de Asturias,Asturias,74961,12.604863973203251,1.1606541982188268,0.9651503807965736,8,7,13.06,18
C's,49,Castilla y León,Zamora,12423,11.408446823946443,1.0840688406176278,0.8735411044369404,3,3,13.06,18
C's,19,Castilla - La Mancha,Guadalajara,21586,16.41046693731089,0.8096571833145115,1.256544175904356,3,3,13.06,18
C's,21,Andalucía,Huelva,28685,11.669154947339303,1.1059628648205073,0.8935034416033156,5,5,13.06,18
C's,44,Aragón,Teruel,9871,13.175035370118257,0.9122801505207698,1.0088082212954255,3,3,13.06,18
C's,36,Galicia,Pontevedra,48302,8.868073137460458,1.1568313436579687,0.6790255082282127,7,7,13.06,18
C's,20,País Vasco,Gipuzkoa,11683,3.196504447417597,1.0955001058829656,0.24475531756643162,6,6,13.06,18
C's,50,Aragón,Zaragoza,86434,16.844300232882183,0.8815798597753839,1.2897626518286511,7,7,13.06,18
C's,32,Galicia,Ourense,13133,7.054039972714138,1.4398541976695018,0.5401255721833184,4,4,13.06,18
C's,45,Castilla - La Mancha,Toledo,47705,12.980846414859199,0.842474187866627,0.99393923544098,6,6,13.06,18
C's,10,Extremadura,Cáceres,24343,10.30587836836646,0.9344916107886598,0.7891177923710919,4,4,13.06,18
C's,26,La Rioja,La Rioja,24180,13.978333005746263,0.8763899110111971,1.070316462920847,4,4,13.06,18
C's,18,Andalucía,Granada,66000,13.482044368182375,1.0138859719771813,1.032315801545358,7,7,13.06,18
C's,2,Castilla - La Mancha,Albacete,31976,14.569445899951248,0.8502708455678165,1.115577787132561,4,4,13.06,18
C's,11,Andalucía,Cádiz,88029,14.296108029979457,1.115143277818196,1.094648394332271,9,9,13.06,18
C's,30,Región de Murcia,Murcia,111961,15.689777912308433,0.9074411158162694,1.2013612490282106,10,10,13.06,18
C's,24,Castilla y León,León,35870,12.771578520106248,1.0583484659042242,0.9779156600387632,4,4,13.06,18
C's,1,País Vasco,Araba - Álava,8372,4.994034836554522,0.9989818840878956,0.38239164139008586,4,4,13.06,18
C's,5,Castilla y León,Ávila,14096,14.250331085657672,0.8381285291099745,1.0911432684270805,3,3,13.06,18
C's,52,Ciudad de Melilla,Melilla,3352,12.359426274842374,1.564661203773274,0.9463572951640409,1,1,13.06,18
C's,48,País Vasco,Bizkaia,20685,3.3297436169853145,1.0152285669577845,0.2549573979314942,8,8,13.06,18
C's,35,Canarias,Las Palmas,65172,12.969397380329786,1.1819656201767403,0.9930625865489882,8,8,13.06,18
C's,51,Ciudad de Ceuta,Ceuta,3549,11.508901644128807,1.4722464326906544,0.8812328977127724,1,1,13.06,18
C's,43,Cataluña,Tarragona,39082,11.340607045441356,1.139972218737824,0.8683466344135801,6,6,13.06,18
C's,22,Aragón,Huesca,17934,15.343417405290715,0.95453841968319,1.1748405363928571,3,3,13.06,18
C's,38,Canarias,Santa Cruz de Tenerife,52576,11.029945496427269,1.2581071785374423,0.844559379512042,7,7,13.06,18
C's,46,Comunitat Valenciana,Valencia / València,205489,14.475939419001199,0.7882745302115405,1.1084180259572127,16,15,13.06,18
C's,25,Cataluña,Lleida,12592,6.950800125856292,1.2410871524930254,0.5322205303105889,4,4,13.06,18
C's,29,Andalucía,Málaga,121294,16.284177655338333,1.0551538057793985,1.246874246197422,11,11,13.06,18
C's,13,Castilla - La Mancha,Ciudad Real,33126,11.856289996993514,0.8782480415689832,0.9078323121740822,5,5,13.06,18
C's,42,Castilla y León,Soria,5679,11.445443185940587,1.0283107699701468,0.8763739039770739,2,2,13.06,18
C's,3,Comunitat Valenciana,Alicante / Alacant,138517,15.827457325385156,0.882386925972212,1.2119033174108083,12,12,13.06,18
C's,9,Castilla y León,Burgos,30361,14.668496142157975,0.9041701679078291,1.1231620323245004,4,4,13.06,18
C's,47,Castilla y León,Valladolid,49283,15.60734463276836,0.7837951850043215,1.195049359323764,5,5,13.06,18
C's,37,Castilla y León,Salamanca,31878,15.743543902451071,1.0053192356495122,1.2054780936026854,4,4,13.06,18
C's,27,Galicia,Lugo,13343,6.915012152966724,1.3034240559407635,0.5294802567355837,4,4,13.06,18
C's,17,Cataluña,Girona,23748,7.714071326249866,1.1760977155007135,0.5906639606623174,6,6,13.06,18
CCa-PNC,4,Andalucía,Almería,0,0,1.1077851234609697,0,6,6,0.33,0.32998737753200696
CCa-PNC,40,Castilla y León,Segovia,0,0,0.7694098847172584,0,3,3,0.33,0.32998737753200696
CCa-PNC,52,Ciudad de Melilla,Melilla,0,0,1.564661203773274,0,1,1,0.33,0.32998737753200696
CCa-PNC,45,Castilla - La Mancha,Toledo,0,0,0.842474187866627,0,6,6,0.33,0.32998737753200696
CCa-PNC,16,Castilla - La Mancha,Cuenca,0,0,0.7696060045183283,0,3,3,0.33,0.32998737753200696
CCa-PNC,18,Andalucía,Granada,0,0,1.0138859719771813,0,7,7,0.33,0.32998737753200696
CCa-PNC,41,Andalucía,Sevilla,0,0,0.9483770879627175,0,12,12,0.33,0.32998737753200696
CCa-PNC,31,Comunidad Foral de Navarra,Navarra,0,0,0.9724659571019328,0,5,5,0.33,0.32998737753200696
CCa-PNC,25,Cataluña,Lleida,0,0,1.2410871524930254,0,4,4,0.33,0.32998737753200696
CCa-PNC,51,Ciudad de Ceuta,Ceuta,0,0,1.4722464326906544,0,1,1,0.33,0.32998737753200696
CCa-PNC,17,Cataluña,Girona,0,0,1.1760977155007135,0,6,6,0.33,0.32998737753200696
CCa-PNC,43,Cataluña,Tarragona,0,0,1.139972218737824,0,6,6,0.33,0.32998737753200696
CCa-PNC,49,Castilla y León,Zamora,0,0,1.0840688406176278,0,3,3,0.33,0.32998737753200696
CCa-PNC,50,Aragón,Zaragoza,0,0,0.8815798597753839,0,7,7,0.33,0.32998737753200696
CCa-PNC,46,Comunitat Valenciana,Valencia / València,0,0,0.7882745302115405,0,16,15,0.33,0.32998737753200696
CCa-PNC,10,Extremadura,Cáceres,0,0,0.9344916107886598,0,4,4,0.33,0.32998737753200696
CCa-PNC,5,Castilla y León,Ávila,0,0,0.8381285291099745,0,3,3,0.33,0.32998737753200696
CCa-PNC,21,Andalucía,Huelva,0,0,1.1059628648205073,0,5,5,0.33,0.32998737753200696
CCa-PNC,9,Castilla y León,Burgos,0,0,0.9041701679078291,0,4,4,0.33,0.32998737753200696
CCa-PNC,20,País Vasco,Gipuzkoa,0,0,1.0955001058829656,0,6,6,0.33,0.32998737753200696
CCa-PNC,35,Canarias,Las Palmas,17982,3.5784647347494354,1.1819656201767403,10.843832529543743,8,8,0.33,0.32998737753200696
CCa-PNC,28,Comunidad de Madrid,Madrid,0,0,0.8708794774093342,0,36,37,0.33,0.32998737753200696
CCa-PNC,7,Illes Balears,Illes Balears,0,0,1.171419168730247,0,8,8,0.33,0.32998737753200696
