Nombre.de.Comunidad,Código.de.Provincia,Nombre.de.Provincia,Población,Total.censo.electoral,Total.votantes,Votos.válidos,Votos.a.candidaturas,Votos.en.blanco,Votos.nulos,siglas,votos,sobrevalido,swingfactor_abs,swingfactor
Galicia,36,Pontevedra,947374,901233,551762,544673,540255,4418,7089,PP,208921,38.35714272600257,1.1568313436579687,1.1619855415329468
Comunidad de Madrid,28,Madrid,6436996,4927932,3489376,3465795,3447658,18137,23581,PP,1325665,38.24995419521351,0.8708794774093342,1.1587383882221605
Comunidad Foral de Navarra,31,Navarra,640476,502530,338720,335335,331867,3468,3385,PP,106976,31.90123309526295,0.9724659571019328,0.9664111813166602
País Vasco,1,Araba - Álava,323648,254579,169331,167640,166562,1078,1691,PP,34276,20.446194225721783,0.9989818840878956,0.6193939480679123
País Vasco,20,Gipuzkoa,716834,580706,367464,365493,362782,2711,1971,PP,35312,9.661470944723975,1.0955001058829656,0.29268315494468267
País Vasco,48,Bizkaia,1148775,948080,625444,621219,617312,3907,4225,PP,78965,12.711298270014279,1.0152285669577845,0.385074167525425
Región de Murcia,30,Murcia,1467288,1034075,719536,713592,709879,3713,5944,PP,333109,46.68059619502461,0.9074411158162694,1.414134995305199
La Rioja,26,La Rioja,317053,247670,174913,172982,171757,1225,1931,PP,73708,42.61021377946839,0.8763899110111971,1.290827439547664
Comunitat Valenciana,3,Alicante / Alacant,1855047,1253296,882601,875169,870331,4838,7432,PP,329628,37.66449680004662,0.882386925972212,1.1410026295076225
Comunitat Valenciana,12,Castellón / Castelló,582327,416491,302324,299204,297135,2069,3120,PP,106746,35.6766620767102,0.8177695926626533,1.0807834618815573
Comunitat Valenciana,46,Valencia / València,2543315,1946046,1431843,1419521,1411013,8508,12322,PP,482855,34.01534743057694,0.7882745302115405,1.0304558446100254
Ciudad de Ceuta,51,Ceuta,84263,61587,31194,30837,30521,316,357,PP,15991,51.85653597950514,1.4722464326906544,1.5709341405484745
Ciudad de Melilla,52,Melilla,85584,57795,27483,27121,26853,268,362,PP,13522,49.85804358246377,1.564661203773274,1.5103921109501295
Andalucía,4,Almería,701211,491496,308989,306674,304461,2213,2315,PSOE,84988,27.7128155631061,1.1077851234609697,1.224605195011317
Andalucía,11,Cádiz,1240284,993689,622252,615755,608817,6938,6497,PSOE,175498,28.50127079763867,1.115143277818196,1.2594463454546474
Andalucía,14,Córdoba,795611,651184,452038,446818,442329,4489,5220,PSOE,139281,31.171752257071113,0.91235500030757255,1.377452596423823
Andalucía,18,Granada,917297,748579,494171,489540,486116,3424,4631,PSOE,151445,30.936184989990608,1.0138859719771813,1.367043083958931
Andalucía,21,Huelva,520017,396117,249269,245819,243293,2526,3450,PSOE,88100,35.83937775355038,1.1059628648205073,1.583710903824586
Andalucía,23,Jaén,654170,532211,375082,370762,368217,2545,4320,PSOE,138612,37.385708351988605,0.88078212057665906,1.6520419068488117
Andalucía,29,Málaga,1628973,1163657,752086,744858,738680,6178,7228,PSOE,201444,27.044617900324624,1.0551538057793985,1.1950781219763422
Andalucía,41,Sevilla,1941480,1531806,1044851,1033112,1023530,9582,11739,PSOE,347470,33.63333307521353,0.9483770879627175,1.4862277099078007
Aragón,22,Huesca,222909,173546,118018,116884,115680,1204,1134,PSOE,29915,25.593751069436365,0.95453841968319,1.1309655797364722
Aragón,44,Teruel,138932,109380,75932,74922,74218,704,1010,PSOE,19724,26.326045754251087,0.9122801505207698,1.1633250443769814
Aragón,50,Zaragoza,956006,734064,517144,513135,509011,4124,4009,PSOE,125321,24.422617829615987,0.8815798597753839,1.0792142213705695
Principado de Asturias,33,Asturias,1051229,982837,600463,594699,589325,5374,5764,PSOE,147920,24.873087057486224,1.1606541982188268,1.0991200644050474
Illes Balears,7,Illes Balears,1104479,772939,469437,464787,460561,4226,4650,PSOE,93363,20.087265779808817,1.171419168730247,0.8876387883256216
Canarias,35,Las Palmas,1098406,842916,508957,502506,499004,3502,6451,PSOE,119351,23.751159190139024,1.1819656201767403,1.049543048614186
Canarias,38,Santa Cruz de Tenerife,1001900,833373,481925,476666,473883,2783,5259,PSOE,101120,21.21401568393802,1.2581071785374423,0.9374288857241724
Cantabria,39,Cantabria,585179,498203,341348,337567,335113,2454,3781,PSOE,79407,23.523330183341383,0.9392647389515052,1.039475483134838
Castilla - La Mancha,2,Albacete,394580,310083,221706,219473,218043,1430,2233,PSOE,59617,27.163705786133146,0.8502708455678165,1.2003405119811377
Castilla - La Mancha,13,Ciudad Real,513713,400552,282634,279396,277457,1939,3238,PSOE,81728,29.25167146272674,0.8782480415689832,1.292605897601712
Castilla - La Mancha,16,Cuenca,203841,157835,117118,115849,115026,823,1269,PSOE,34426,29.716268591010714,0.7696060045183283,1.3131360402567704
Castilla - La Mancha,19,Guadalajara,253686,182408,132903,131538,130716,822,1365,PSOE,30282,23.021484285909775,0.8096571833145115,1.017299349797162
Castilla - La Mancha,45,Toledo,693371,518206,371866,367503,365529,1974,4363,PSOE,97733,26.593796513225744,0.842474187866627,1.1751567173321142
Castilla y León,5,Ávila,164925,139218,100106,98917,98200,717,1189,PSOE,19277,19.48805564260946,0.8381285291099745,0.8611602139906964
Castilla y León,9,Burgos,364002,300243,209246,206981,205169,1812,2265,PSOE,45724,22.090916557558423,0.9041701679078291,0.976178371964579
Castilla y León,24,León,479395,440263,284076,280858,278461,2397,3218,PSOE,73681,26.234253608585124,1.0583484659042242,1.1592688293674382
Castilla y León,34,Palencia,166035,143769,101838,100626,99788,838,1212,PSOE,24751,24.59702263828434,0.8700935674605698,1.0869210180417297
Castilla y León,37,Salamanca,339395,308612,204615,202483,201040,1443,2132,PSOE,43252,21.36080559849469,1.0053192356495122,0.9439154042640163
Castilla y León,40,Segovia,157570,120823,89662,88525,87910,615,1137,PSOE,19014,21.47867833945213,0.7694098847172584,0.9491240980756576
Castilla y León,42,Soria,91006,76814,50337,49618,49018,600,719,PSOE,12762,25.720504655568543,1.0283107699701468,1.1365667103653798
Castilla y León,47,Valladolid,526288,433056,319280,315768,313534,2234,3512,PSOE,71780,22.73187910111221,0.7837951850043215,1.0045019487897575
Castilla y León,49,Zamora,183436,173320,110339,108893,107883,1010,1446,PSOE,26045,23.91797452545159,1.0840688406176278,1.0569144730645865
Cataluña,8,Barcelona,5523922,4131319,2659818,2643933,2622852,21081,15885,PSOE,444812,16.823875642839663,1.0625951302898626,0.7434324190384297
Cataluña,17,Girona,753054,512366,310377,307853,305211,2642,2524,PSOE,38558,12.524808918542291,1.1760977155007135,0.553460402940446
Cataluña,25,Lleida,436029,313207,182909,181159,179003,2156,1750,PSOE,22533,12.438244856728067,1.2410871524930254,0.5496352124051289
Cataluña,43,Tarragona,795101,562990,347861,344620,341560,3060,3241,PSOE,53967,15.6598572340549,1.139972218737824,0.6919954588623465
Extremadura,6,Badajoz,686730,558228,382981,377949,375230,2719,5032,PSOE,133392,35.293650730654136,0.9365586208921605,1.559595701752282
Extremadura,10,Cáceres,406267,349082,239735,236205,234666,1539,3530,PSOE,78767,33.34688088736479,0.9344916107886598,1.4735696370907994
Galicia,15,A Coruña,1127196,1087472,651065,643389,636696,6693,7676,PSOE,139973,21.755578662364446,1.1972080117288424,0.9613600822962637
